"","Sample","strain","replication","substrate","concentration","hour","values","substrate_groups","temperature"
"3244","420/24","G323/23","1","Triclosan",2,0,0.095,"antimicrobial","24"
"3245","390/24","G321/23","1","Triclosan",2,96,1.134,"antimicrobial","24"
"3246","391/24","G321/23","2","Triclosan",2,0,0.097,"antimicrobial","24"
"3247","391/24","G321/23","2","Triclosan",2,72,0.12,"antimicrobial","24"
"3248","392/24","G321/23","3","Triclosan",2,72,0.34,"antimicrobial","24"
"3249","391/24","G321/23","2","Triclosan",2,24,0.101,"antimicrobial","24"
"3250","406/24","G322/23","2","Triclosan",2,72,0.143,"antimicrobial","24"
"3251","421/24","G323/23","2","Triclosan",2,24,0.113,"antimicrobial","24"
"3252","406/24","G322/23","2","Triclosan",2,0,0.104,"antimicrobial","24"
"3253","405/24","G322/23","1","Triclosan",2,24,0.133,"antimicrobial","24"
"3254","406/24","G322/23","2","Triclosan",2,96,0.573,"antimicrobial","24"
"3255","421/24","G323/23","2","Triclosan",2,48,0.113,"antimicrobial","24"
"3256","390/24","G321/23","1","Triclosan",2,72,0.321,"antimicrobial","24"
"3257","406/24","G322/23","2","Triclosan",2,24,0.103,"antimicrobial","24"
"3258","422/24","G323/23","3","Triclosan",2,0,0.098,"antimicrobial","24"
"3259","405/24","G322/23","1","Triclosan",2,48,0.168,"antimicrobial","24"
"3260","422/24","G323/23","3","Triclosan",2,72,0.323,"antimicrobial","24"
"3261","420/24","G323/23","1","Triclosan",2,48,0.131,"antimicrobial","24"
"3262","390/24","G321/23","1","Triclosan",2,0,0.098,"antimicrobial","24"
"3263","391/24","G321/23","2","Triclosan",2,48,0.112,"antimicrobial","24"
"3264","407/24","G322/23","3","Triclosan",2,24,0.233,"antimicrobial","24"
"3265","422/24","G323/23","3","Triclosan",2,48,0.15,"antimicrobial","24"
"3266","391/24","G321/23","2","Triclosan",2,96,0.217,"antimicrobial","24"
"3267","421/24","G323/23","2","Triclosan",2,96,0.729,"antimicrobial","24"
"3268","407/24","G322/23","3","Triclosan",2,96,1.205,"antimicrobial","24"
"3269","420/24","G323/23","1","Triclosan",2,72,0.368,"antimicrobial","24"
"3270","423/24","G323/23","1","Doxycyline Hyclate",2,24,0.362,"antibiotics","24"
"3271","395/24","G321/23","3","Doxycyline Hyclate",2,24,0.122,"antibiotics","24"
"3272","410/24","G322/23","3","Doxycyline Hyclate",2,48,0.138,"antibiotics","24"
"3273","424/24","G323/23","2","Doxycyline Hyclate",2,24,0.127,"antibiotics","24"
"3274","394/24","G321/23","2","Doxycyline Hyclate",2,96,0.576,"antibiotics","24"
"3275","408/24","G322/23","1","Doxycyline Hyclate",2,48,0.165,"antibiotics","24"
"3276","395/24","G321/23","3","Doxycyline Hyclate",2,96,0.944,"antibiotics","24"
"3277","409/24","G322/23","2","Doxycyline Hyclate",2,96,0.936,"antibiotics","24"
"3278","425/24","G323/23","3","Doxycyline Hyclate",2,48,0.202,"antibiotics","24"
"3279","393/24","G321/23","1","Doxycyline Hyclate",2,48,0.164,"antibiotics","24"
"3280","425/24","G323/23","3","Doxycyline Hyclate",2,96,1.153,"antibiotics","24"
"3281","408/24","G322/23","1","Doxycyline Hyclate",2,96,0.134,"antibiotics","24"
"3282","424/24","G323/23","2","Doxycyline Hyclate",2,0,0.118,"antibiotics","24"
"3283","408/24","G322/23","1","Doxycyline Hyclate",2,72,0.149,"antibiotics","24"
"3284","395/24","G321/23","3","Doxycyline Hyclate",2,48,0.185,"antibiotics","24"
"3285","394/24","G321/23","2","Doxycyline Hyclate",2,72,0.177,"antibiotics","24"
"3286","423/24","G323/23","1","Doxycyline Hyclate",2,48,0.147,"antibiotics","24"
"3287","395/24","G321/23","3","Doxycyline Hyclate",2,0,0.097,"antibiotics","24"
"3288","410/24","G322/23","3","Doxycyline Hyclate",2,0,0.094,"antibiotics","24"
"3289","409/24","G322/23","2","Doxycyline Hyclate",2,48,0.301,"antibiotics","24"
"3290","393/24","G321/23","1","Doxycyline Hyclate",2,24,0.117,"antibiotics","24"
"3291","410/24","G322/23","3","Doxycyline Hyclate",2,24,0.101,"antibiotics","24"
"3292","394/24","G321/23","2","Doxycyline Hyclate",2,0,0.105,"antibiotics","24"
"3293","410/24","G322/23","3","Doxycyline Hyclate",2,72,0.448,"antibiotics","24"
"3294","410/24","G322/23","3","Doxycyline Hyclate",2,96,1.193,"antibiotics","24"
"3295","409/24","G322/23","2","Doxycyline Hyclate",2,72,0.257,"antibiotics","24"
"3296","423/24","G323/23","1","Doxycyline Hyclate",2,48,0,"antibiotics","24"
"3297","424/24","G323/23","2","Doxycyline Hyclate",2,48,0.172,"antibiotics","24"
"3298","395/24","G321/23","3","Doxycyline Hyclate",2,72,0.231,"antibiotics","24"
"3299","408/24","G322/23","1","Doxycyline Hyclate",2,0,0.114,"antibiotics","24"
"3300","425/24","G323/23","3","Doxycyline Hyclate",2,0,0.104,"antibiotics","24"
"3301","423/24","G323/23","1","Doxycyline Hyclate",2,96,0.143,"antibiotics","24"
"3302","425/24","G323/23","3","Doxycyline Hyclate",2,72,0.27,"antibiotics","24"
"3303","393/24","G321/23","1","Doxycyline Hyclate",2,72,0.139,"antibiotics","24"
"3304","424/24","G323/23","2","Doxycyline Hyclate",2,96,1.029,"antibiotics","24"
"3305","423/24","G323/23","1","Doxycyline Hyclate",2,0,0.121,"antibiotics","24"
"3306","408/24","G322/23","1","Doxycyline Hyclate",2,24,0.122,"antibiotics","24"
"3307","409/24","G322/23","2","Doxycyline Hyclate",2,0,0.104,"antibiotics","24"
"3308","423/24","G323/23","1","Doxycyline Hyclate",2,72,0.133,"antibiotics","24"
"3309","393/24","G321/23","1","Doxycyline Hyclate",2,96,0.174,"antibiotics","24"
"3310","393/24","G321/23","1","Doxycyline Hyclate",2,0,0.108,"antibiotics","24"
"3311","394/24","G321/23","2","Doxycyline Hyclate",2,24,0.137,"antibiotics","24"
"3312","409/24","G322/23","2","Doxycyline Hyclate",2,24,0.256,"antibiotics","24"
"3313","424/24","G323/23","2","Doxycyline Hyclate",2,72,0.248,"antibiotics","24"
"3314","394/24","G321/23","2","Doxycyline Hyclate",2,48,0.199,"antibiotics","24"
"3315","425/24","G323/23","3","Doxycyline Hyclate",2,24,0.229,"antibiotics","24"
"3316","428/24","G323/23","3","Sodium Benzoate",2,72,0.145,"others","24"
"3317","411/24","G322/23","1","Sodium Benzoate",2,72,0.174,"others","24"
"3318","412/24","G322/23","2","Sodium Benzoate",2,24,0.177,"others","24"
"3319","428/24","G323/23","3","Sodium Benzoate",2,48,0.162,"others","24"
"3320","398/24","G321/23","3","Sodium Benzoate",2,0,0.12,"others","24"
"3321","428/24","G323/23","3","Sodium Benzoate",2,24,0.122,"others","24"
"3322","412/24","G322/23","2","Sodium Benzoate",2,0,0.123,"others","24"
"3323","397/24","G321/23","2","Sodium Benzoate",2,24,0.109,"others","24"
"3324","397/24","G321/23","2","Sodium Benzoate",2,72,0.106,"others","24"
"3325","412/24","G322/23","2","Sodium Benzoate",2,48,0.227,"others","24"
"3326","397/24","G321/23","2","Sodium Benzoate",2,48,0.127,"others","24"
"3327","413/24","G322/23","3","Sodium Benzoate",2,72,0.119,"others","24"
"3328","396/24","G321/23","1","Sodium Benzoate",2,48,0.173,"others","24"
"3329","396/24","G321/23","1","Sodium Benzoate",2,0,0.097,"others","24"
"3330","411/24","G322/23","1","Sodium Benzoate",2,48,0.223,"others","24"
"3331","411/24","G322/23","1","Sodium Benzoate",2,24,0.194,"others","24"
"3332","411/24","G322/23","1","Sodium Benzoate",2,0,0.113,"others","24"
"3333","411/24","G322/23","1","Sodium Benzoate",2,96,0.726,"others","24"
"3334","426/24","G323/23","1","Sodium Benzoate",2,24,0.103,"others","24"
"3335","426/24","G323/23","1","Sodium Benzoate",2,0,0.099,"others","24"
"3336","412/24","G322/23","2","Sodium Benzoate",2,96,1.232,"others","24"
"3337","413/24","G322/23","3","Sodium Benzoate",2,24,0.121,"others","24"
"3338","427/24","G323/23","2","Sodium Benzoate",2,72,0.502,"others","24"
"3339","427/24","G323/23","2","Sodium Benzoate",2,0,0.101,"others","24"
"3340","427/24","G323/23","2","Sodium Benzoate",2,96,1.197,"others","24"
"3341","396/24","G321/23","1","Sodium Benzoate",2,96,0.417,"others","24"
"3342","398/24","G321/23","3","Sodium Benzoate",2,96,0.208,"others","24"
"3343","413/24","G322/23","3","Sodium Benzoate",2,96,0.134,"others","24"
"3344","398/24","G321/23","3","Sodium Benzoate",2,72,0.232,"others","24"
"3345","397/24","G321/23","2","Sodium Benzoate",2,0,0.097,"others","24"
"3346","412/24","G322/23","2","Sodium Benzoate",2,72,0.39,"others","24"
"3347","396/24","G321/23","1","Sodium Benzoate",2,72,0.234,"others","24"
"3348","398/24","G321/23","3","Sodium Benzoate",2,48,0.248,"others","24"
"3349","413/24","G322/23","3","Sodium Benzoate",2,0,0.115,"others","24"
"3350","427/24","G323/23","2","Sodium Benzoate",2,48,0.362,"others","24"
"3351","426/24","G323/23","1","Sodium Benzoate",2,48,0.126,"others","24"
"3352","397/24","G321/23","2","Sodium Benzoate",2,96,0.25,"others","24"
"3353","398/24","G321/23","3","Sodium Benzoate",2,24,0.207,"others","24"
"3354","396/24","G321/23","1","Sodium Benzoate",2,24,0.101,"others","24"
"3355","426/24","G323/23","1","Sodium Benzoate",2,72,0.143,"others","24"
"3356","428/24","G323/23","3","Sodium Benzoate",2,0,0.112,"others","24"
"3357","427/24","G323/23","2","Sodium Benzoate",2,24,0.286,"others","24"
"3358","413/24","G322/23","3","Sodium Benzoate",2,48,0.136,"others","24"
"3359","428/24","G323/23","3","Sodium Benzoate",2,96,0.133,"others","24"
"3360","426/24","G323/23","1","Sodium Benzoate",2,96,0.565,"others","24"
"3361","401/24","G321/23","3","Kanamycin Monosulfate",2,72,0.214,"antibiotics","24"
"3362","400/24","G321/23","2","Kanamycin Monosulfate",2,48,0.131,"antibiotics","24"
"3363","399/24","G321/23","1","Kanamycin Monosulfate",2,96,0.483,"antibiotics","24"
"3364","431/24","G323/23","3","Kanamycin Monosulfate",2,24,0.155,"antibiotics","24"
"3365","431/24","G323/23","3","Kanamycin Monosulfate",2,48,0.153,"antibiotics","24"
"3366","400/24","G321/23","2","Kanamycin Monosulfate",2,96,1.106,"antibiotics","24"
"3367","429/24","G323/23","1","Kanamycin Monosulfate",2,96,0.487,"antibiotics","24"
"3368","401/24","G321/23","3","Kanamycin Monosulfate",2,96,0.44,"antibiotics","24"
"3369","414/24","G322/23","1","Kanamycin Monosulfate",2,72,0.403,"antibiotics","24"
"3370","431/24","G323/23","3","Kanamycin Monosulfate",2,72,0.24,"antibiotics","24"
"3371","415/24","G322/23","2","Kanamycin Monosulfate",2,96,1.192,"antibiotics","24"
"3372","430/24","G323/23","2","Kanamycin Monosulfate",2,24,0.102,"antibiotics","24"
"3373","399/24","G321/23","1","Kanamycin Monosulfate",2,48,0.148,"antibiotics","24"
"3374","400/24","G321/23","2","Kanamycin Monosulfate",2,24,0.102,"antibiotics","24"
"3375","430/24","G323/23","2","Kanamycin Monosulfate",2,48,0.176,"antibiotics","24"
"3376","429/24","G323/23","1","Kanamycin Monosulfate",2,24,0.13,"antibiotics","24"
"3377","401/24","G321/23","3","Kanamycin Monosulfate",2,24,0.121,"antibiotics","24"
"3378","416/24","G322/23","3","Kanamycin Monosulfate",2,24,0.22,"antibiotics","24"
"3379","416/24","G322/23","3","Kanamycin Monosulfate",2,48,0.296,"antibiotics","24"
"3380","399/24","G321/23","1","Kanamycin Monosulfate",2,24,0.127,"antibiotics","24"
"3381","415/24","G322/23","2","Kanamycin Monosulfate",2,0,0.094,"antibiotics","24"
"3382","415/24","G322/23","2","Kanamycin Monosulfate",2,48,0.119,"antibiotics","24"
"3383","431/24","G323/23","3","Kanamycin Monosulfate",2,96,0.604,"antibiotics","24"
"3384","400/24","G321/23","2","Kanamycin Monosulfate",2,72,0.247,"antibiotics","24"
"3385","414/24","G322/23","1","Kanamycin Monosulfate",2,48,0.433,"antibiotics","24"
"3386","416/24","G322/23","3","Kanamycin Monosulfate",2,72,0.216,"antibiotics","24"
"3387","401/24","G321/23","3","Kanamycin Monosulfate",2,48,0.133,"antibiotics","24"
"3388","399/24","G321/23","1","Kanamycin Monosulfate",2,72,0.161,"antibiotics","24"
"3389","414/24","G322/23","1","Kanamycin Monosulfate",2,96,1.17,"antibiotics","24"
"3390","399/24","G321/23","1","Kanamycin Monosulfate",2,0,0.108,"antibiotics","24"
"3391","400/24","G321/23","2","Kanamycin Monosulfate",2,0,0.096,"antibiotics","24"
"3392","429/24","G323/23","1","Kanamycin Monosulfate",2,0,0.102,"antibiotics","24"
"3393","416/24","G322/23","3","Kanamycin Monosulfate",2,0,0.141,"antibiotics","24"
"3394","430/24","G323/23","2","Kanamycin Monosulfate",2,72,0.73,"antibiotics","24"
"3395","430/24","G323/23","2","Kanamycin Monosulfate",2,96,1.521,"antibiotics","24"
"3396","429/24","G323/23","1","Kanamycin Monosulfate",2,72,0.144,"antibiotics","24"
"3397","416/24","G322/23","3","Kanamycin Monosulfate",2,96,0.672,"antibiotics","24"
"3398","415/24","G322/23","2","Kanamycin Monosulfate",2,24,0.099,"antibiotics","24"
"3399","414/24","G322/23","1","Kanamycin Monosulfate",2,24,0.325,"antibiotics","24"
"3400","415/24","G322/23","2","Kanamycin Monosulfate",2,72,0.415,"antibiotics","24"
"3401","431/24","G323/23","3","Kanamycin Monosulfate",2,0,0.121,"antibiotics","24"
"3402","430/24","G323/23","2","Kanamycin Monosulfate",2,0,0.098,"antibiotics","24"
"3403","429/24","G323/23","1","Kanamycin Monosulfate",2,48,0.144,"antibiotics","24"
"3404","414/24","G322/23","1","Kanamycin Monosulfate",2,0,0.11,"antibiotics","24"
"3405","401/24","G321/23","3","Kanamycin Monosulfate",2,0,0.1,"antibiotics","24"
"3406","418/24","G323/23","2","Protamine sulfate",3,96,0.374,"membrane function compounds","24"
"3407","389/24","G321/23","3","Protamine sulfate",3,96,0.657,"membrane function compounds","24"
"3408","418/24","G323/23","2","Protamine sulfate",3,24,0.369,"membrane function compounds","24"
"3409","402/24","G322/23","1","Protamine sulfate",3,96,0.163,"membrane function compounds","24"
"3410","387/24","G321/23","1","Protamine sulfate",3,0,0.101,"membrane function compounds","24"
"3411","402/24","G322/23","1","Protamine sulfate",3,72,0.178,"membrane function compounds","24"
"3412","417/24","G323/23","1","Protamine sulfate",3,72,0.137,"membrane function compounds","24"
"3413","387/24","G321/23","1","Protamine sulfate",3,48,0.147,"membrane function compounds","24"
"3414","388/24","G321/23","2","Protamine sulfate",3,96,0.255,"membrane function compounds","24"
"3415","404/24","G322/23","3","Protamine sulfate",3,24,0.17,"membrane function compounds","24"
"3416","402/24","G322/23","1","Protamine sulfate",3,0,0.102,"membrane function compounds","24"
"3417","403/24","G322/23","2","Protamine sulfate",3,0,0.141,"membrane function compounds","24"
"3418","419/24","G323/23","3","Protamine sulfate",3,48,0.178,"membrane function compounds","24"
"3419","389/24","G321/23","3","Protamine sulfate",3,48,0.226,"membrane function compounds","24"
"3420","404/24","G322/23","3","Protamine sulfate",3,72,0.199,"membrane function compounds","24"
"3421","418/24","G323/23","2","Protamine sulfate",3,48,0.374,"membrane function compounds","24"
"3422","389/24","G321/23","3","Protamine sulfate",3,24,0.231,"membrane function compounds","24"
"3423","404/24","G322/23","3","Protamine sulfate",3,48,0.202,"membrane function compounds","24"
"3424","402/24","G322/23","1","Protamine sulfate",3,24,0.146,"membrane function compounds","24"
"3425","387/24","G321/23","1","Protamine sulfate",3,72,0.147,"membrane function compounds","24"
"3426","387/24","G321/23","1","Protamine sulfate",3,96,0.155,"membrane function compounds","24"
"3427","403/24","G322/23","2","Protamine sulfate",3,72,0.575,"membrane function compounds","24"
"3428","389/24","G321/23","3","Protamine sulfate",3,0,0.122,"membrane function compounds","24"
"3429","402/24","G322/23","1","Protamine sulfate",3,48,0.186,"membrane function compounds","24"
"3430","388/24","G321/23","2","Protamine sulfate",3,48,0.278,"membrane function compounds","24"
"3431","417/24","G323/23","1","Protamine sulfate",3,48,0.127,"membrane function compounds","24"
"3432","418/24","G323/23","2","Protamine sulfate",3,72,0.38,"membrane function compounds","24"
"3433","417/24","G323/23","1","Protamine sulfate",3,24,0.124,"membrane function compounds","24"
"3434","419/24","G323/23","3","Protamine sulfate",3,0,0.129,"membrane function compounds","24"
"3435","404/24","G322/23","3","Protamine sulfate",3,96,0.355,"membrane function compounds","24"
"3436","389/24","G321/23","3","Protamine sulfate",3,72,0.278,"membrane function compounds","24"
"3437","387/24","G321/23","1","Protamine sulfate",3,24,0.142,"membrane function compounds","24"
"3438","419/24","G323/23","3","Protamine sulfate",3,96,0.358,"membrane function compounds","24"
"3439","388/24","G321/23","2","Protamine sulfate",3,0,0.151,"membrane function compounds","24"
"3440","403/24","G322/23","2","Protamine sulfate",3,48,0.54,"membrane function compounds","24"
"3441","418/24","G323/23","2","Protamine sulfate",3,0,0.202,"membrane function compounds","24"
"3442","403/24","G322/23","2","Protamine sulfate",3,24,0.45,"membrane function compounds","24"
"3443","403/24","G322/23","2","Protamine sulfate",3,96,0.74,"membrane function compounds","24"
"3444","419/24","G323/23","3","Protamine sulfate",3,72,0.2,"membrane function compounds","24"
"3445","404/24","G322/23","3","Protamine sulfate",3,0,0.121,"membrane function compounds","24"
"3446","388/24","G321/23","2","Protamine sulfate",3,24,0.273,"membrane function compounds","24"
"3447","419/24","G323/23","3","Protamine sulfate",3,24,0.169,"membrane function compounds","24"
"3448","417/24","G323/23","1","Protamine sulfate",3,0,0.102,"membrane function compounds","24"
"3449","417/24","G323/23","1","Protamine sulfate",3,96,0.137,"membrane function compounds","24"
"3450","388/24","G321/23","2","Protamine sulfate",3,72,0.284,"membrane function compounds","24"
"3451","421/24","G323/23","2","Triclosan",3,24,0.108,"antimicrobial","24"
"3452","406/24","G322/23","2","Triclosan",3,24,0.166,"antimicrobial","24"
"3453","406/24","G322/23","2","Triclosan",3,96,0,"antimicrobial","24"
"3454","422/24","G323/23","3","Triclosan",3,48,0.151,"antimicrobial","24"
"3455","420/24","G323/23","1","Triclosan",3,24,0.114,"antimicrobial","24"
"3456","422/24","G323/23","3","Triclosan",3,0,0.105,"antimicrobial","24"
"3457","392/24","G321/23","3","Triclosan",3,24,0.127,"antimicrobial","24"
"3458","405/24","G322/23","1","Triclosan",3,24,0.199,"antimicrobial","24"
"3459","390/24","G321/23","1","Triclosan",3,48,0.232,"antimicrobial","24"
"3460","391/24","G321/23","2","Triclosan",3,0,0.098,"antimicrobial","24"
"3461","406/24","G322/23","2","Triclosan",3,96,0.179,"antimicrobial","24"
"3462","405/24","G322/23","1","Triclosan",3,72,0.325,"antimicrobial","24"
"3463","392/24","G321/23","3","Triclosan",3,0,0.122,"antimicrobial","24"
"3464","406/24","G322/23","2","Triclosan",3,0,0.114,"antimicrobial","24"
"3465","390/24","G321/23","1","Triclosan",3,0,0.107,"antimicrobial","24"
"3466","422/24","G323/23","3","Triclosan",3,96,0.132,"antimicrobial","24"
"3467","420/24","G323/23","1","Triclosan",3,96,1.245,"antimicrobial","24"
"3468","421/24","G323/23","2","Triclosan",3,96,0.115,"antimicrobial","24"
"3469","392/24","G321/23","3","Triclosan",3,96,0.159,"antimicrobial","24"
"3470","406/24","G322/23","2","Triclosan",3,72,0.184,"antimicrobial","24"
"3471","405/24","G322/23","1","Triclosan",3,0,0.106,"antimicrobial","24"
"3472","392/24","G321/23","3","Triclosan",3,48,0.164,"antimicrobial","24"
"3473","407/24","G322/23","3","Triclosan",3,96,0.15,"antimicrobial","24"
"3474","391/24","G321/23","2","Triclosan",3,24,0.104,"antimicrobial","24"
"3475","391/24","G321/23","2","Triclosan",3,72,0.113,"antimicrobial","24"
"3476","407/24","G322/23","3","Triclosan",3,48,0.247,"antimicrobial","24"
"3477","390/24","G321/23","1","Triclosan",3,96,1.217,"antimicrobial","24"
"3478","420/24","G323/23","1","Triclosan",3,48,0.141,"antimicrobial","24"
"3479","390/24","G321/23","1","Triclosan",3,72,0.559,"antimicrobial","24"
"3480","407/24","G322/23","3","Triclosan",3,24,0.221,"antimicrobial","24"
"3481","405/24","G322/23","1","Triclosan",3,48,0.18,"antimicrobial","24"
"3482","422/24","G323/23","3","Triclosan",3,72,0.137,"antimicrobial","24"
"3483","421/24","G323/23","2","Triclosan",3,72,0.108,"antimicrobial","24"
"3484","421/24","G323/23","2","Triclosan",3,0,0.114,"antimicrobial","24"
"3485","392/24","G321/23","3","Triclosan",3,72,0.159,"antimicrobial","24"
"3486","422/24","G323/23","3","Triclosan",3,24,0.123,"antimicrobial","24"
"3487","406/24","G322/23","2","Triclosan",3,48,0.221,"antimicrobial","24"
"3488","390/24","G321/23","1","Triclosan",3,24,0.233,"antimicrobial","24"
"3489","391/24","G321/23","2","Triclosan",3,48,0.112,"antimicrobial","24"
"3490","420/24","G323/23","1","Triclosan",3,0,0.109,"antimicrobial","24"
"3491","421/24","G323/23","2","Triclosan",3,48,0.108,"antimicrobial","24"
"3492","420/24","G323/23","1","Triclosan",3,72,0.313,"antimicrobial","24"
"3493","405/24","G322/23","1","Triclosan",3,96,1.142,"antimicrobial","24"
"3494","407/24","G322/23","3","Triclosan",3,0,0.11,"antimicrobial","24"
"3495","391/24","G321/23","2","Triclosan",3,96,0.123,"antimicrobial","24"
"3496","407/24","G322/23","3","Triclosan",3,72,0.139,"antimicrobial","24"
"3497","408/24","G322/23","1","Doxycyline Hyclate",3,72,0.371,"antibiotics","24"
"3498","394/24","G321/23","2","Doxycyline Hyclate",3,0,0.116,"antibiotics","24"
"3499","425/24","G323/23","3","Doxycyline Hyclate",3,72,0.211,"antibiotics","24"
"3500","408/24","G322/23","1","Doxycyline Hyclate",3,24,0.365,"antibiotics","24"
"3501","425/24","G323/23","3","Doxycyline Hyclate",3,96,1.001,"antibiotics","24"
"3502","394/24","G321/23","2","Doxycyline Hyclate",3,24,0.16,"antibiotics","24"
"3503","424/24","G323/23","2","Doxycyline Hyclate",3,24,0.168,"antibiotics","24"
"3504","423/24","G323/23","1","Doxycyline Hyclate",3,24,0.367,"antibiotics","24"
"3505","425/24","G323/23","3","Doxycyline Hyclate",3,0,0.102,"antibiotics","24"
"3506","408/24","G322/23","1","Doxycyline Hyclate",3,0,0.175,"antibiotics","24"
"3507","409/24","G322/23","2","Doxycyline Hyclate",3,0,0.116,"antibiotics","24"
"3508","410/24","G322/23","3","Doxycyline Hyclate",3,96,1.26,"antibiotics","24"
"3509","408/24","G322/23","1","Doxycyline Hyclate",3,96,0.37,"antibiotics","24"
"3510","410/24","G322/23","3","Doxycyline Hyclate",3,48,0.154,"antibiotics","24"
"3511","424/24","G323/23","2","Doxycyline Hyclate",3,96,0.245,"antibiotics","24"
"3512","423/24","G323/23","1","Doxycyline Hyclate",3,96,0.366,"antibiotics","24"
"3513","424/24","G323/23","2","Doxycyline Hyclate",3,48,0.206,"antibiotics","24"
"3514","410/24","G322/23","3","Doxycyline Hyclate",3,24,0.101,"antibiotics","24"
"3515","393/24","G321/23","1","Doxycyline Hyclate",3,48,0.382,"antibiotics","24"
"3516","395/24","G321/23","3","Doxycyline Hyclate",3,24,0.338,"antibiotics","24"
"3517","394/24","G321/23","2","Doxycyline Hyclate",3,96,0.41,"antibiotics","24"
"3518","393/24","G321/23","1","Doxycyline Hyclate",3,96,0.355,"antibiotics","24"
"3519","395/24","G321/23","3","Doxycyline Hyclate",3,0,0.102,"antibiotics","24"
"3520","424/24","G323/23","2","Doxycyline Hyclate",3,0,0.12,"antibiotics","24"
"3521","410/24","G322/23","3","Doxycyline Hyclate",3,72,0.515,"antibiotics","24"
"3522","425/24","G323/23","3","Doxycyline Hyclate",3,48,0.107,"antibiotics","24"
"3523","423/24","G323/23","1","Doxycyline Hyclate",3,0,0.193,"antibiotics","24"
"3524","423/24","G323/23","1","Doxycyline Hyclate",3,48,0,"antibiotics","24"
"3525","424/24","G323/23","2","Doxycyline Hyclate",3,72,0.193,"antibiotics","24"
"3526","395/24","G321/23","3","Doxycyline Hyclate",3,72,0.245,"antibiotics","24"
"3527","408/24","G322/23","1","Doxycyline Hyclate",3,48,0.401,"antibiotics","24"
"3528","393/24","G321/23","1","Doxycyline Hyclate",3,72,0.378,"antibiotics","24"
"3529","409/24","G322/23","2","Doxycyline Hyclate",3,48,0.167,"antibiotics","24"
"3530","393/24","G321/23","1","Doxycyline Hyclate",3,24,0.346,"antibiotics","24"
"3531","423/24","G323/23","1","Doxycyline Hyclate",3,72,0.359,"antibiotics","24"
"3532","425/24","G323/23","3","Doxycyline Hyclate",3,24,0.104,"antibiotics","24"
"3533","409/24","G322/23","2","Doxycyline Hyclate",3,72,0.201,"antibiotics","24"
"3534","395/24","G321/23","3","Doxycyline Hyclate",3,48,0.351,"antibiotics","24"
"3535","394/24","G321/23","2","Doxycyline Hyclate",3,48,0.211,"antibiotics","24"
"3536","395/24","G321/23","3","Doxycyline Hyclate",3,96,0.513,"antibiotics","24"
"3537","394/24","G321/23","2","Doxycyline Hyclate",3,72,0.203,"antibiotics","24"
"3538","423/24","G323/23","1","Doxycyline Hyclate",3,48,0.362,"antibiotics","24"
"3539","393/24","G321/23","1","Doxycyline Hyclate",3,0,0.128,"antibiotics","24"
"3540","410/24","G322/23","3","Doxycyline Hyclate",3,0,0.097,"antibiotics","24"
"3541","409/24","G322/23","2","Doxycyline Hyclate",3,24,0.156,"antibiotics","24"
"3542","409/24","G322/23","2","Doxycyline Hyclate",3,96,0.548,"antibiotics","24"
"3543","428/24","G323/23","3","Sodium Benzoate",3,72,0.364,"others","24"
"3544","397/24","G321/23","2","Sodium Benzoate",3,96,0.122,"others","24"
"3545","396/24","G321/23","1","Sodium Benzoate",3,48,0.165,"others","24"
"3546","413/24","G322/23","3","Sodium Benzoate",3,0,0.173,"others","24"
"3547","397/24","G321/23","2","Sodium Benzoate",3,72,0.11,"others","24"
"3548","396/24","G321/23","1","Sodium Benzoate",3,72,0.129,"others","24"
"3549","411/24","G322/23","1","Sodium Benzoate",3,72,0.114,"others","24"
"3550","426/24","G323/23","1","Sodium Benzoate",3,48,0.127,"others","24"
"3551","413/24","G322/23","3","Sodium Benzoate",3,48,0.432,"others","24"
"3552","398/24","G321/23","3","Sodium Benzoate",3,0,0.158,"others","24"
"3553","427/24","G323/23","2","Sodium Benzoate",3,0,0.113,"others","24"
"3554","398/24","G321/23","3","Sodium Benzoate",3,72,0.385,"others","24"
"3555","411/24","G322/23","1","Sodium Benzoate",3,24,0.105,"others","24"
"3556","398/24","G321/23","3","Sodium Benzoate",3,48,0.41,"others","24"
"3557","413/24","G322/23","3","Sodium Benzoate",3,24,0.426,"others","24"
"3558","428/24","G323/23","3","Sodium Benzoate",3,24,0.354,"others","24"
"3559","428/24","G323/23","3","Sodium Benzoate",3,48,0.38,"others","24"
"3560","427/24","G323/23","2","Sodium Benzoate",3,48,0.269,"others","24"
"3561","396/24","G321/23","1","Sodium Benzoate",3,0,0.097,"others","24"
"3562","428/24","G323/23","3","Sodium Benzoate",3,96,0.351,"others","24"
"3563","428/24","G323/23","3","Sodium Benzoate",3,0,0.199,"others","24"
"3564","397/24","G321/23","2","Sodium Benzoate",3,0,0.102,"others","24"
"3565","413/24","G322/23","3","Sodium Benzoate",3,72,0.433,"others","24"
"3566","411/24","G322/23","1","Sodium Benzoate",3,96,0.122,"others","24"
"3567","412/24","G322/23","2","Sodium Benzoate",3,24,0.129,"others","24"
"3568","411/24","G322/23","1","Sodium Benzoate",3,0,0.1,"others","24"
"3569","426/24","G323/23","1","Sodium Benzoate",3,96,0.122,"others","24"
"3570","412/24","G322/23","2","Sodium Benzoate",3,48,0.171,"others","24"
"3571","427/24","G323/23","2","Sodium Benzoate",3,96,0.264,"others","24"
